comparable,component_id,image_id,primary_disposition,primary_kind,primary_structure_reason,repeat_disposition,repeat_kind,repeat_structure_reason
True,9,NLB_483955685EDR_F0470598NCAM00320M1,accepted,direct,,accepted,direct,
True,10,NLB_483955685EDR_F0470598NCAM00320M1,rejected_noise,direct,,rejected_noise,direct,
True,11,NLB_483955685EDR_F0470598NCAM00320M1,rejected_noise,direct,,rejected_noise,direct,
False,12,NLB_483955685EDR_F0470598NCAM00320M1,,structured,multi_annotation_or_multi_component,,structured,multi_annotation_or_multi_component
False,1,NLB_490004046EDR_F0482122NCAM00281M1,,structured,multi_annotation_or_multi_component,,structured,multi_annotation_or_multi_component
True,2,NLB_490004046EDR_F0482122NCAM00281M1,rejected_noise,direct,,rejected_noise,direct,
True,3,NLB_490004046EDR_F0482122NCAM00281M1,rejected_noise,direct,,rejected_noise,direct,
True,4,NLB_490004046EDR_F0482122NCAM00281M1,rejected_noise,direct,,rejected_noise,direct,
False,5,NLB_490004046EDR_F0482122NCAM00281M1,,structured,multi_annotation_or_multi_component,rejected_noise,direct,
True,6,NLB_490004046EDR_F0482122NCAM00281M1,rejected_noise,direct,,rejected_noise,direct,
True,7,NLB_490004046EDR_F0482122NCAM00281M1,rejected_noise,direct,,rejected_noise,direct,
True,8,NLB_490004046EDR_F0482122NCAM00281M1,rejected_noise,direct,,rejected_noise,direct,
True,9,NLB_490004046EDR_F0482122NCAM00281M1,rejected_noise,direct,,rejected_noise,direct,
False,1,NLB_548252623EDR_F0631150NCAM00312M1,rejected_noise,direct,,,structured,multi_annotation_or_multi_component
True,2,NLB_548252623EDR_F0631150NCAM00312M1,rejected_noise,direct,,rejected_noise,direct,
True,3,NLB_548252623EDR_F0631150NCAM00312M1,accepted,direct,,accepted,direct,
True,4,NLB_548252623EDR_F0631150NCAM00312M1,rejected_noise,direct,,accepted,direct,
True,5,NLB_548252623EDR_F0631150NCAM00312M1,rejected_noise,direct,,rejected_noise,direct,
True,6,NLB_548252623EDR_F0631150NCAM00312M1,rejected_noise,direct,,rejected_noise,direct,
True,7,NLB_548252623EDR_F0631150NCAM00312M1,rejected_noise,direct,,rejected_noise,direct,
True,8,NLB_548252623EDR_F0631150NCAM00312M1,accepted,direct,,accepted,direct,
True,9,NLB_548252623EDR_F0631150NCAM00312M1,rejected_noise,direct,,rejected_noise,direct,
True,10,NLB_548252623EDR_F0631150NCAM00312M1,rejected_noise,direct,,rejected_noise,direct,
True,11,NLB_548252623EDR_F0631150NCAM00312M1,rejected_noise,direct,,rejected_noise,direct,
True,12,NLB_548252623EDR_F0631150NCAM00312M1,rejected_noise,direct,,rejected_noise,direct,
True,13,NLB_548252623EDR_F0631150NCAM00312M1,rejected_noise,direct,,rejected_noise,direct,
True,14,NLB_548252623EDR_F0631150NCAM00312M1,rejected_noise,direct,,rejected_noise,direct,
True,1,NLB_528261206EDR_F0580738NCAM00385M1,accepted,direct,,accepted,direct,
True,2,NLB_528261206EDR_F0580738NCAM00385M1,accepted,direct,,accepted,direct,
False,3,NLB_528261206EDR_F0580738NCAM00385M1,,structured,explicit_resolution,rejected_noise,direct,
False,4,NLB_528261206EDR_F0580738NCAM00385M1,,structured,explicit_resolution,accepted,direct,
True,1,NLB_463551084EDR_F0411534NCAM00385M1,accepted,direct,,rejected_noise,direct,
False,2,NLB_463551084EDR_F0411534NCAM00385M1,,structured,multi_annotation_or_multi_component,,structured,multi_annotation_or_multi_component
True,3,NLB_463551084EDR_F0411534NCAM00385M1,rejected_noise,direct,,rejected_noise,direct,
True,4,NLB_463551084EDR_F0411534NCAM00385M1,accepted,direct,,accepted,direct,
